IMPORTANT DETAIL,,,,,,,,,,,,,,,,
"In order to insert a suggestion that uses a PivotTable or formula, your data was organized in columns with a single header row.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Date & time,Field2,Field3,Field4,Field5,Temperature oC,Field7,Field8,Field9,Depth,Field10,Turbidity,Field12,,,mg/l
,25/04/2023 15:02,23,,,12751363,12.039385,3274590,1.068624,2.3727,0.933207,-63.470001,1.939646,,,,3.879292
,25/04/2023 15:02,23,,,12766797,11.866673,3236299,1.056036,1.9077,0.74432,-62.390003,1.557256,,,,3.114511
,25/04/2023 15:02,23,,,12774166,11.784198,3253805,1.06179,2.3221,0.831873,-67.770004,1.898035,,,,3.796071
,25/04/2023 15:02,23,,,12777910,11.74229,3257234,1.062918,2.5509,0.848777,-65.520004,2.086188,,,,4.172375
,25/04/2023 15:02,23,,,12780976,11.70797,3309716,1.080172,2.2496,1.098936,-67.389999,1.838415,,,,3.67683
,25/04/2023 15:02,23,,,12782566,11.690171,3287497,1.072867,2.2247,0.994855,-67.409996,1.817939,,,,3.635878
,25/04/2023 15:02,23,,,12783211,11.682951,3298172,1.076377,1.7634,1.045167,-65.720001,1.438591,,,,2.877183
,25/04/2023 15:02,23,,,12783484,11.679895,3297769,1.076244,2.5826,1.043278,-68.120003,2.112256,,,,4.224512
,25/04/2023 15:02,23,,,12783719,11.677264,3300574,1.077166,2.154,1.056408,-68.080002,1.759799,,,,3.519598
,25/04/2023 15:02,23,,,12784346,11.670245,3353842,1.094681,1.6859,1.29908,-65.290001,1.37486,,,,2.74972
,25/04/2023 15:02,23,,,12785162,11.66111,3390286,1.106666,1.6957,1.458956,-67.830002,1.382919,,,,2.765838
,25/04/2023 15:02,23,,,12786180,11.649713,3386433,1.105399,1.9699,1.442254,-69.490005,1.608406,,,,3.216811
,25/04/2023 15:02,23,,,12786243,11.649008,3378393,1.102755,2.288,1.407257,-68.830002,1.869993,,,,3.739987
,25/04/2023 15:02,23,,,12786347,11.647844,3401819,1.110458,2.4133,1.508685,-66.909996,1.973033,,,,3.946066
,25/04/2023 15:02,23,9416228,5.679284,12786952,11.64107,3454874,1.127908,3.0561,1.732929,-68.020004,2.501636,,,,5.003272
,25/04/2023 15:02,23,,,12788253,11.626505,3510874,1.146329,3.3906,1.962936,-69.790001,2.77671,,,,5.553419
,25/04/2023 15:02,23,,,12789785,11.609353,3515690,1.147914,2.1271,1.982447,-69.07,1.737678,,,,3.475356
,25/04/2023 15:02,23,,,12791231,11.593164,3543929,1.157204,2.4237,2.096099,-70.32,1.981585,,,,3.963171
,25/04/2023 15:02,23,,,12794711,11.5542,3627795,1.184799,1.9223,2.427115,-67.690002,1.569262,,,,3.138524
,25/04/2023 15:02,23,,,12797692,11.520821,3656052,1.194099,2.0304,2.536812,-68.5,1.658157,,,,3.316315
,25/04/2023 15:02,23,,,12799052,11.505592,3653923,1.193398,2.0665,2.528575,-68.330002,1.687844,,,,3.375688
,25/04/2023 15:02,23,,,12799482,11.500777,3712776,1.212768,2.6874,2.754754,-70.169998,2.198437,,,,4.396875
,25/04/2023 15:02,23,,,12801537,11.477765,3758767,1.227907,2.1026,2.929545,-70.020004,1.717531,,,,3.435061
,25/04/2023 15:02,23,,,12802642,11.46539,3747509,1.224201,2.6913,2.886901,-68.770004,2.201645,,,,4.403289
,25/04/2023 15:02,23,,,12802542,11.46651,3759235,1.228061,2.4106,2.931316,-69.550003,1.970813,,,,3.941626
,25/04/2023 15:02,23,,,12802855,11.463005,3774650,1.233136,4.2447,2.98956,-67.43,3.479074,,,,6.958148
,25/04/2023 15:02,23,,,12803521,11.455547,3794172,1.239563,2.215,3.0631,-71.790001,1.809962,,,,3.619924
,25/04/2023 15:02,23,,,12804312,11.446688,3808241,1.244195,2.0753,3.115952,-69.979996,1.695081,,,,3.390161
,25/04/2023 15:02,23,,,12806650,11.420504,3945120,1.289269,2.3467,3.624731,-69.770004,1.918265,,,,3.83653
,25/04/2023 15:02,23,,,12811164,11.369947,3958901,1.293808,2.5207,3.675488,-69.970001,2.061353,,,,4.122705
,25/04/2023 15:02,23,,,12813559,11.34312,3974941,1.299092,2.8454,3.734474,-70.559998,2.328368,,,,4.656735
,25/04/2023 15:02,23,,,12815290,11.323731,4049355,1.323605,2.7804,4.006945,-68.759995,2.274915,,,,4.54983
,25/04/2023 15:02,23,,,12817022,11.304329,4082395,1.334491,2.0353,4.127362,-69.540001,1.662187,,,,3.324374
,25/04/2023 15:02,23,,,12818108,11.292163,4114917,1.345207,2.2623,4.24559,-68.400002,1.848859,,,,3.697718
,25/04/2023 15:02,23,9416040,5.678251,12819212,11.279795,4155949,1.358728,2.9873,4.394363,-67.559998,2.445059,,,,4.890117
,25/04/2023 15:02,23,,,12819981,11.27118,4231709,1.383697,2.6155,4.668033,-70.959999,2.139311,,,,4.278622
,25/04/2023 15:02,23,,,12820678,11.263372,4241758,1.387009,2.3694,4.704242,-71.93,1.936932,,,,3.873864
,25/04/2023 15:02,23,,,12821321,11.256168,4249167,1.389451,1.9919,4.730927,-68.509995,1.626497,,,,3.252995
,25/04/2023 15:02,23,,,12821889,11.249805,4239624,1.386306,2.7856,4.696554,-70.900002,2.279192,,,,4.558383
,25/04/2023 15:02,23,,,12821869,11.250029,4270894,1.396613,2.4811,4.809119,-68.159996,2.028788,,,,4.057576
,25/04/2023 15:02,23,,,12822678,11.240965,4380046,1.4326,2.8129,5.200704,-71.279999,2.301642,,,,4.603283
,25/04/2023 15:02,23,,,12824213,11.223767,4409511,1.442316,3.6045,5.306095,-70.889999,2.952609,,,,5.905219
,25/04/2023 15:02,23,,,12824925,11.21579,4452507,1.456495,2.4059,5.45967,-70.809998,1.966948,,,,3.933895
,25/04/2023 15:03,23,,,12825628,11.207913,4417690,1.445013,2.7629,5.335328,-69.490005,2.260524,,,,4.521049
,25/04/2023 15:03,23,,,12825452,11.209885,4435177,1.45078,2.354,5.397799,-70.580002,1.924268,,,,3.848536
,25/04/2023 15:03,23,,,12825753,11.206513,4559357,1.491739,2.3854,5.840346,-70.879997,1.95009,,,,3.900179
,25/04/2023 15:03,23,,,12826591,11.197123,4566985,1.494255,3.2193,5.867474,-72.120003,2.635842,,,,5.271685
,25/04/2023 15:03,23,,,12826746,11.195387,4565526,1.493774,3.0081,5.862286,-71.32,2.462163,,,,4.924326
,25/04/2023 15:03,23,,,12827251,11.189728,4584266,1.499956,3.031,5.92891,-68.889999,2.480995,,,,4.96199
,25/04/2023 15:03,23,,,12827962,11.181762,4698980,1.537807,5.2328,6.336026,-71.139999,4.291632,,,,8.583263
,25/04/2023 15:03,23,,,12828778,11.172618,4760349,1.558061,2.8934,6.553372,-71.639999,2.36784,,,,4.735681
,25/04/2023 15:03,23,,,12829088,11.169145,4771759,1.561827,2.4149,6.593751,-71.330002,1.974349,,,,3.948697
,25/04/2023 15:03,23,,,12828892,11.171341,4767457,1.560407,3.0169,6.578528,-71.129997,2.4694,,,,4.9388
,25/04/2023 15:03,23,,,12828514,11.175576,4845963,1.586321,4.8849,6.856134,-70.900002,4.005539,,,,8.011077
,25/04/2023 15:03,23,9415869,5.677311,12828782,11.172573,4898540,1.60368,3.5868,7.041832,-71.150002,2.938054,,,,5.876108
,25/04/2023 15:03,23,,,12828973,11.170433,4897118,1.60321,3.1039,7.036812,-71.270004,2.540944,,,,5.081887
,25/04/2023 15:03,23,,,12828894,11.171318,4911690,1.608021,4.3153,7.088252,-69.559998,3.537131,,,,7.074262
,25/04/2023 15:03,23,,,12828893,11.17133,4926893,1.613041,2.8877,7.141906,-72.099998,2.363153,,,,4.726306
,25/04/2023 15:03,23,,,12828726,11.173201,4963807,1.625231,3.317,7.272131,-69.809998,2.716185,,,,5.432371
,25/04/2023 15:03,23,,,12828961,11.170568,5085435,1.665401,2.7408,7.700729,-70.709999,2.242351,,,,4.484702
,25/04/2023 15:03,23,,,12829649,11.162858,5139581,1.683288,4.4388,7.89132,-71.559998,3.638691,,,,7.277381
,25/04/2023 15:03,23,,,12829841,11.160707,5158764,1.689625,3.027,7.958815,-71.360001,2.477705,,,,4.955411
,25/04/2023 15:03,23,,,12829736,11.161883,5284158,1.73106,3.3121,8.399682,-71.199997,2.712156,,,,5.424312
,25/04/2023 15:03,23,,,12830046,11.15841,5274147,1.727751,2.9311,8.364504,-71.610001,2.398843,,,,4.797686
,25/04/2023 15:03,23,,,12829964,11.159329,5316256,1.741668,3.2831,8.51245,-70.93,2.688308,,,,5.376616
,25/04/2023 15:03,23,,,12830067,11.158174,5395837,1.767972,3.8419,8.791907,-71.360001,3.147834,,,,6.295667
,25/04/2023 15:03,23,,,12830313,11.155418,5553373,1.820059,3.5976,9.344629,-70.610001,2.946935,,,,5.89387
,25/04/2023 15:03,23,,,12830813,11.149815,5536190,1.814377,2.4173,9.284369,-71.300003,1.976322,,,,3.952645
,25/04/2023 15:03,23,,,12830579,11.152437,5527545,1.811518,3.6145,9.254049,-71.900002,2.960833,,,,5.921665
